Date,RSI,ATR,ADX,MACD
2024-12-02,40.3857,4.768,19.6787,-3.573400000000021
2024-11-29,37.2501,4.7009,20.3885,-4.098800000000011
2024-11-27,38.3229,4.8464,19.9626,-4.213099999999997
2024-11-26,45.0343,4.8361,19.3064,-4.2017999999999915
2024-11-25,41.3627,4.7327,19.2563,-4.276999999999987
2024-11-22,35.2398,4.7891,19.6916,-4.657999999999987
2024-11-21,36.9753,4.9967,19.2135,-4.7934999999999945
2024-11-20,37.0757,4.9696,18.6988,-4.809100000000001
2024-11-19,34.2195,4.9449,18.2368,-4.77030000000002
2024-11-18,34.9562,5.1245,18.0151,-4.833600000000018
2024-11-15,32.1381,5.0572,17.7876,-4.797300000000007
2024-11-14,35.4757,5.047,16.6453,-4.27079999999998
2024-11-13,37.9236,5.2167,16.1475,-3.937899999999985
2024-11-12,42.385,5.2011,15.6932,-3.502600000000001
2024-11-11,42.8143,5.1473,15.6031,-3.3368999999999858
2024-11-08,45.0558,5.2617,16.0905,-3.4555999999999756
2024-11-07,41.202,5.4215,17.1091,-3.617999999999995
2024-11-06,38.6513,5.4524,18.087,-3.9630000000000223
2024-11-05,34.0275,5.556,18.184,-3.8651000000000124
2024-11-04,33.6573,5.8011,17.6883,-3.3336999999999932
2024-11-01,35.7862,5.9458,17.1545,-2.5101999999999975
2024-10-31,38.5637,6.1555,16.7974,-1.5397999999999854
2024-10-30,43.4154,6.2174,16.6885,-0.5037000000000091
2024-10-29,53.0364,5.2995,17.2777,0.3649000000000058
2024-10-28,49.7107,5.048,17.1276,-0.3289999999999793
2024-10-25,45.4324,5.1247,18.4444,-0.5653999999999826
2024-10-24,44.4989,5.0982,19.5259,-0.4831000000000074
2024-10-23,42.0731,5.2719,19.6951,-0.08699999999998909
2024-10-22,45.9299,5.4028,19.3622,0.4738000000000113
2024-10-21,44.8342,5.3576,19.2614,1.0626000000000033
2024-10-18,46.5549,5.4736,19.5837,1.4106999999999914
2024-10-17,49.3135,5.7062,20.2121,2.0309000000000026
2024-10-16,47.1523,5.8136,21.0148,2.764499999999998
2024-10-15,52.7205,6.002,21.3601,3.6728999999999985
2024-10-14,58.408,5.7306,21.8749,4.727000000000004
2024-10-11,54.8523,5.883,22.6571,5.124899999999997
2024-10-10,62.5773,5.8479,23.4995,5.291500000000013
2024-10-09,69.579,5.5277,24.4067,5.805000000000007
2024-10-08,67.7845,5.6067,23.2549,5.679399999999987
2024-10-07,67.2621,5.7611,22.0793,5.255400000000009
