,title,description,source,url,sentiment_score
0,A Brief History of Cyrix,Litigation: it's the American way,Abortretry.fail,https://www.abortretry.fail/p/a-brief-history-of-cyrix,0.0
1,"Qualcomm RISCs, Arm Pulls: The Legal Battle for the Future of Client Computing",What happens when a gladiator takes on the “Warren Buffett of Japan”?,Substack.com,https://thechipletter.substack.com/p/qualcomm-riscs-arm-pulls-the-legal,0.0
2,Intel slapped with class action lawsuit over crashing CPU fiasco,"Intel’s issues with 13th- and 14th-gen CPU crashes are well-documented at this point. To make a long story short: High-end chips have been crashing and failing with apparently irreversible damage, and Intel blames overzealous performance settings in the mothe…",PCWorld,https://www.pcworld.com/article/2515623/intel-slapped-with-class-action-lawsuit-over-crashing-cpu-fiasco.html,0.0
3,"Nvidia Joining Dow Jones Industrial Average: Where Tech Giant Ranks In The Index, Why Sherwin-Williams Addition Could Be More Important","Technology giant NVIDIA Corp NVDA is set to join the Dow Jones Industrial Average on Nov. 8 replacing Intel Corporation INTC, a move predicted by several market experts to Benzinga months ago.
Here's a look at what the Dow Jones Industrial Average inclusion m…",Biztoc.com,https://biztoc.com/x/41a4a01f30b7b9ed,-0.075
4,Intel’s (INTC) New AI Chip Jaguar Shores: A Game-Changer Amid Financial Struggles,"We recently published a list of 15 AI News Investors Are Paying Attention To. In this article, we are going to take a look at where Intel Corporation...",Yahoo Entertainment,https://finance.yahoo.com/news/intel-intc-ai-chip-jaguar-194413623.html,0.0
5,Intel's Chief Executive Officer Pat Gelsinger retires from the company,"Pat Gelsinger, Intel's Chief Executive Officer, has stepped down from its position and the board of directors. Read more...",Neowin,https://www.neowin.net/news/intels-chief-executive-officer-pat-gelsinger-retires-from-the-company/,0.17222222222222222
6,"Intel Stock May Fall. ‘If HE Couldn’t Fix It, Can Anyone?’ Asks Expert","After a 52% stock plunge in 2024, a 6% revenue drop paired with a whopping $16.6 billion loss in the latest quarter, Intel’s board ousted CEO Pat Gelsinger",Forbes,https://www.forbes.com/sites/petercohan/2024/12/02/intel-stock-may-fall-if-he-couldnt-fix-it-can-anyone-asks-expert/,0.5
7,Is Intel Corporation (INTC) AI News Update taking Wall Street by Storm?,"We recently published a list of 15 AI News Updates Taking Wall Street By Storm. In this article, we are going to take a look at where Intel Corporation...",Yahoo Entertainment,https://finance.yahoo.com/news/intel-corporation-intc-ai-news-103030962.html,0.0
8,Intel Corporation (INTC) to Sell Folsom Campus as Part of Cost-Cutting Amid Struggles to Regain Chip Leadership,"We recently compiled a list of the 14 AI Stocks on Wall Street’s Radar. In this article, we are going to take a look at where Intel Corporation (NASDAQ:INTC)...",Yahoo Entertainment,https://finance.yahoo.com/news/intel-corporation-intc-sell-folsom-091529037.html,0.0
9,Is Intel too big to fail? US officials are considering government intervention,"Amid growing concerns over Intel's recent financial struggles, top US policymakers are discreetly weighing contingency plans to support the company, which remains central to America's technological ambitions. The troubled company is trying to cash in on the r…",TechSpot,https://www.techspot.com/news/105429-us-officials-consider-government-intervention-if-intel-cannot.html,0.0
10,Can it run Doom? My journey through hell to discover why the answer is always ‘yes’,Under a blanket of memes and enthusiast hacking projects lies a decades-long story of how Doom became one of the most ported games ever.,Digital Trends,https://www.digitaltrends.com/computing/can-it-run-doom/,0.5
11,"Intel CEO Pat Gelsinger Retires, Co-CEOs Named","Intel CEO Pat Gelsinger has retired, effective Dec. 1.",Yahoo Entertainment,https://finance.yahoo.com/news/intel-ceo-pat-gelsinger-retires-181309943.html,0.6
12,Behind The Scenes: Nvidia’s Great Rise And The New Data Center Era,What’s going on inside Nvidia as the company contributes to a new wave of data center engineering?,Forbes,https://www.forbes.com/sites/johnwerner/2024/11/08/behind-the-scenes-nvidias-great-rise-and-the-new-data-center-era/,0.018181818181818174
13,"Qualcomm backs off full Intel acquisition, could consider buying select divisions","In September, reports claimed that Qualcomm had made a takeover offer to rival Intel. The proposal arrived as Team Blue lurched from one crisis to another, from its poor financial performance leading to mass layoffs and cost-cutting, to the problems with its …",TechSpot,https://www.techspot.com/news/105722-qualcomm-backs-off-full-intel-acquisition-could-consider.html,-0.13333333333333333
14,Hacker in Snowflake Extortions May Be a U.S. Soldier,"Two men have been arrested for allegedly stealing data from and extorting dozens of companies that used the cloud data storage company Snowflake, but a third suspect -- a prolific hacker known as Kiberphant0m -- remains at large and continues to publicly exto…",Krebs on Security,https://krebsonsecurity.com/2024/11/hacker-in-snowflake-extortions-may-be-a-u-s-soldier/,0.028571428571428567
