Date,RSI,ATR,ADX,MACD
2024-12-03,47.7686,1.046,11.6809,0.06070000000000064
2024-12-02,55.8893,1.0119,12.4936,0.21419999999999817
2024-11-29,47.9573,0.9328,12.3436,0.2582000000000022
2024-11-27,48.7569,0.9523,13.2711,0.2984000000000009
2024-11-26,57.8809,0.9494,13.8925,0.386099999999999
2024-11-25,58.7005,0.932,14.5743,0.4516999999999989
2024-11-22,54.0702,0.9218,14.1351,0.44539999999999935
2024-11-21,52.1196,0.9511,14.5432,0.4686000000000021
2024-11-20,52.0496,0.952,14.9827,0.49730000000000274
2024-11-19,55.278,0.9745,16.0525,0.5706999999999987
2024-11-18,54.2359,0.9921,16.5572,0.6367000000000012
2024-11-15,57.7648,1.0023,17.0224,0.6465000000000032
2024-11-14,60.1103,1.0178,17.7114,0.6994000000000007
2024-11-13,54.2064,1.043,17.6375,0.6875
2024-11-12,58.7789,1.0371,17.9629,0.6737000000000002
2024-11-11,70.7934,1.0277,18.4703,0.7235000000000014
2024-11-08,71.2092,0.9947,17.9117,0.6859000000000002
2024-11-07,68.7827,1.0251,15.898,0.5109999999999992
2024-11-06,63.05,1.0016,13.7587,0.2771000000000008
2024-11-05,50.0974,0.9402,12.278,0.09490000000000265
2024-11-04,53.9793,0.9217,12.1007,0.03689999999999927
2024-11-01,54.3912,0.9003,12.6091,0.04380000000000095
2024-10-31,46.3055,0.8111,13.1566,-0.017199999999998994
2024-10-30,48.8106,0.8097,12.6535,0.07629999999999981
2024-10-29,53.4181,0.8204,13.1761,0.1150999999999982
2024-10-28,51.5514,0.8274,13.966,0.10180000000000078
2024-10-25,49.188,0.8364,15.0402,0.08119999999999905
2024-10-24,45.9566,0.8238,16.197,0.0782999999999987
2024-10-23,47.751,0.8568,15.8902,0.10810000000000031
2024-10-22,51.5804,0.8574,15.5599,0.18120000000000047
2024-10-21,50.5528,0.8718,15.9339,0.22910000000000252
2024-10-18,50.5528,0.8904,16.4402,0.24199999999999733
2024-10-17,51.4153,0.9296,17.304,0.2622
2024-10-16,48.9138,0.9619,18.2344,0.31780000000000186
2024-10-15,57.1979,0.9651,18.8626,0.397199999999998
2024-10-14,58.7221,0.9432,20.2173,0.45730000000000004
2024-10-11,55.2716,0.9773,20.532,0.4477999999999973
2024-10-10,56.4286,0.9879,20.8709,0.4170999999999978
2024-10-09,56.9026,1.02,21.5463,0.4064000000000014
2024-10-08,50.4623,1.0662,22.1388,0.3623000000000012
2024-10-07,51.535,1.0424,22.8351,0.3152000000000008
2024-10-04,53.653,1.0742,24.3679,0.3460000000000001
2024-10-03,50.0981,1.1068,25.6937,0.3589999999999982
2024-10-02,53.7192,1.1089,27.3015,0.40390000000000015
2024-10-01,59.6909,1.1391,28.2264,0.4421999999999997
2024-09-30,61.9577,1.114,29.2224,0.4541000000000004
2024-09-27,65.4179,1.1335,29.2777,0.3841999999999999
2024-09-26,66.4018,1.1471,28.498,0.2436000000000007
2024-09-25,59.4107,1.1454,27.8067,0.05959999999999965
2024-09-24,57.9276,1.1316,27.2885,-0.13739999999999952
2024-09-23,57.3923,1.1555,27.3766,-0.3125
2024-09-20,47.9139,1.169,27.6822,-0.5061
2024-09-19,50.5587,1.0443,28.0113,-0.6723999999999997
2024-09-18,51.096,1.0539,29.5102,-0.8035999999999994
2024-09-17,53.4012,1.0561,31.1245,-0.9218999999999973
2024-09-16,41.6722,1.0089,32.324,-1.1305999999999976
2024-09-13,36.9343,0.9781,34.6513,-1.3236000000000026
2024-09-12,36.4013,1.0195,35.6319,-1.4232999999999976
2024-09-11,32.7045,1.0517,36.3281,-1.499299999999998
2024-09-10,32.7888,1.0426,37.078,-1.603200000000001
2024-09-09,32.5467,1.0767,37.1098,-1.6450999999999993
2024-09-06,34.2257,1.1095,37.4338,-1.6838999999999977
2024-09-05,33.0596,1.1294,37.7181,-1.6905999999999999
2024-09-04,34.7772,1.1656,38.41,-1.7265000000000015
2024-09-03,42.3541,1.1921,39.1809,-1.7501999999999995
2024-08-30,40.3893,1.1262,40.4744,-1.8232
2024-08-29,28.8135,1.0597,42.6137,-2.0874999999999986
2024-08-28,29.6017,1.0651,43.0839,-2.1999999999999993
2024-08-27,30.1233,1.1012,42.8724,-2.2585000000000015
2024-08-26,31.4978,1.1536,42.8288,-2.347200000000001
2024-08-23,29.9394,1.1954,42.8421,-2.432500000000001
2024-08-22,33.5506,1.2236,43.0226,-2.547599999999999
2024-08-21,31.2626,1.2123,43.217,-2.6128
2024-08-20,31.7024,1.2709,43.9797,-2.7912
2024-08-19,29.5342,1.3148,44.5609,-2.9357000000000006
2024-08-16,27.1897,1.3371,45.1945,-3.1312999999999995
2024-08-15,25.8342,1.4027,44.8019,-3.2692999999999977
2024-08-14,26.19,1.4229,44.379,-3.3796
2024-08-13,19.9564,1.4774,43.2987,-3.3927000000000014
2024-08-12,20.5828,1.5048,42.1134,-3.4161
2024-08-09,20.911,1.546,40.2946,-3.2833000000000006
2024-08-08,15.0411,1.5888,38.4469,-3.101700000000001
2024-08-07,15.9616,1.5794,36.4571,-2.9041999999999994
2024-08-06,16.2626,1.6009,34.0326,-2.4570000000000007
2024-08-05,15.603,1.6568,31.541,-1.9228999999999985
2024-08-02,17.4542,1.6172,28.6451,-1.2417000000000016
2024-08-01,37.7437,1.0821,25.7074,-0.4925999999999995
2024-07-31,38.2791,1.0239,25.4582,-0.2950000000000017
2024-07-30,39.7299,1.0461,26.3418,-0.20949999999999847
2024-07-29,42.5534,1.0574,27.2935,-0.03569999999999851
2024-07-26,42.6023,1.0868,29.0752,0.11589999999999634
2024-07-25,42.2449,1.1291,31.2308,0.2552000000000021
2024-07-24,47.7849,1.1369,33.5523,0.4543999999999997
2024-07-23,50.0104,1.1258,35.5026,0.641600000000004
2024-07-22,51.6936,1.1711,36.2138,0.7445000000000022
2024-07-19,59.1124,1.2115,36.9796,0.8226000000000013
2024-07-18,61.6373,1.1504,37.6956,0.9499000000000066
2024-07-17,69.4475,1.0982,36.1022,0.9072999999999993
2024-07-16,62.7093,0.9672,34.3862,0.8811999999999998
2024-07-15,65.355,0.9938,34.149,0.8472000000000008
2024-07-12,61.1969,1.0004,32.9496,0.7793000000000028
2024-07-11,72.0907,0.9264,31.658,0.6783999999999999
2024-07-10,69.747,0.857,30.4819,0.6399000000000044
2024-07-09,75.473,0.8588,27.5228,0.44269999999999854
2024-07-08,66.7129,0.8102,24.3361,0.2129000000000012
2024-07-05,54.255,0.7143,21.4212,-0.022700000000000387
2024-07-03,51.3508,0.6845,19.5948,-0.12400000000000233
2024-07-02,48.4761,0.7042,18.9582,-0.171400000000002
2024-07-01,49.0345,0.703,18.3218,-0.2132000000000005
2024-06-28,47.3976,0.7258,18.1202,-0.24029999999999774
2024-06-27,43.95,0.7266,17.611,-0.2845000000000013
2024-06-26,45.8086,0.7539,18.2716,-0.29839999999999733
2024-06-25,46.3045,0.7763,18.983,-0.30659999999999954
2024-06-24,49.9895,0.7947,19.7096,-0.33289999999999864
2024-06-21,47.429,0.7878,19.9368,-0.34450000000000003
2024-06-20,44.7574,0.7919,19.8486,-0.4068000000000005
2024-06-18,48.1048,0.8023,20.1507,-0.43290000000000006
2024-06-17,42.096,0.7899,20.3665,-0.46089999999999876
2024-06-14,41.5644,0.788,21.3636,-0.5253999999999976
2024-06-13,42.1856,0.8219,22.7447,-0.546400000000002
2024-06-12,50.0446,0.8378,24.232,-0.5664000000000016
2024-06-11,43.8558,0.8189,25.9076,-0.6138999999999974
2024-06-10,41.702,0.8437,27.2419,-0.6816999999999993
2024-06-07,38.7254,0.8578,28.5202,-0.7575000000000003
2024-06-06,40.6663,0.8798,29.5657,-0.825999999999997
2024-06-05,37.9607,0.9001,30.3194,-0.8689999999999998
2024-06-04,40.9045,0.9063,31.1311,-0.9477000000000011
2024-06-03,42.6941,0.9141,31.8532,-0.9586000000000006
2024-05-31,35.0622,0.9068,32.7527,-0.9847000000000001
2024-05-30,34.9629,0.8986,33.5525,-1.0603999999999978
2024-05-29,36.2764,0.9342,33.6583,-1.0747999999999998
2024-05-28,38.7973,0.933,33.8107,-1.0715000000000003
2024-05-24,32.8694,0.9502,34.4527,-1.1457999999999977
2024-05-23,39.1216,0.9515,34.5968,-1.189499999999999
2024-05-22,42.1164,0.8947,34.752,-1.1631999999999962
2024-05-21,42.572,0.8894,35.9917,-1.2483999999999966
2024-05-20,41.4804,0.9104,37.888,-1.371299999999998
2024-05-17,42.6978,0.93,40.0851,-1.544599999999999
2024-05-16,39.3113,0.9618,42.0392,-1.7161000000000044
2024-05-15,37.3111,0.9601,44.1437,-1.9301999999999992
2024-05-14,30.8807,0.9889,45.2392,-2.098600000000001
2024-05-13,25.3616,1.0191,45.9857,-2.2605999999999966
2024-05-10,26.3552,0.9997,46.7897,-2.3800000000000026
2024-05-09,22.6009,1.0296,46.6618,-2.4308999999999976
2024-05-08,22.7897,1.0644,46.4183,-2.4848999999999997
2024-05-07,25.9204,1.0737,45.8134,-2.508499999999998
2024-05-06,25.9964,1.0921,45.5674,-2.570999999999998
2024-05-03,23.8422,1.1402,44.9429,-2.642699999999998
2024-05-02,20.6313,1.1864,43.8866,-2.676099999999998
2024-05-01,17.1378,1.2411,42.2026,-2.6404000000000067
2024-04-30,18.723,1.2594,40.3891,-2.542499999999997
2024-04-29,20.3722,1.2847,38.546,-2.390500000000003
2024-04-26,19.7317,1.3196,36.7457,-2.2515
2024-04-25,26.6484,1.0809,34.8069,-2.0936999999999983
2024-04-24,27.6185,1.1035,34.2569,-2.1872000000000043
2024-04-23,23.0674,1.1199,33.5036,-2.2132999999999967
2024-04-22,23.2744,1.1741,31.87,-2.192299999999996
2024-04-19,25.1479,1.2267,30.0682,-2.1465999999999994
2024-04-18,25.9342,1.2487,28.1682,-2.035899999999998
2024-04-17,27.8286,1.2755,26.3495,-1.9497
2024-04-16,28.3086,1.3059,24.6349,-1.8757999999999981
2024-04-15,26.7206,1.3496,22.9536,-1.8126000000000033
2024-04-12,28.3697,1.3765,21.1947,-1.7105999999999995
2024-04-11,30.3498,1.3283,19.3005,-1.492999999999995
2024-04-10,32.0036,1.3856,17.8662,-1.3891999999999953
2024-04-09,32.0861,1.3924,16.3215,-1.1929999999999978
2024-04-08,33.6723,1.404,14.785,-1.0390999999999977
2024-04-05,35.641,1.4397,13.374,-0.7922999999999973
