Date,RSI,ATR,ADX,MACD
2024-12-02,47.8276,5.0248,12.9834,0.29349999999999454
2024-11-29,44.9194,5.2094,13.8091,0.4790000000000134
2024-11-27,42.3427,5.3017,14.7892,0.7477000000000089
2024-11-26,45.3357,5.2926,15.3398,1.3760000000000048
2024-11-25,50.636,5.4205,16.2322,1.9969999999999857
2024-11-22,56.2437,5.3582,17.1579,2.8522999999999854
2024-11-21,61.7562,5.3042,16.7904,3.2986999999999966
2024-11-20,59.6744,4.7745,16.3946,3.3399
2024-11-19,52.0686,4.7703,17.0128,3.4232999999999834
2024-11-18,49.4214,4.6003,17.7716,3.365799999999979
2024-11-15,58.2332,4.5826,18.3375,3.9421000000000106
2024-11-14,63.6709,4.4213,19.647,4.433899999999994
2024-11-13,66.6545,4.496,19.6364,4.510600000000011
2024-11-12,64.1569,4.578,19.5065,4.5926000000000045
2024-11-11,68.0859,4.5925,19.3314,4.424800000000005
2024-11-08,68.2697,4.5396,19.3,4.4547999999999774
2024-11-07,66.0158,4.6188,18.4484,4.186999999999983
2024-11-06,62.446,4.7187,17.6729,3.6569999999999823
2024-11-05,55.4683,4.5755,17.2595,3.260300000000001
2024-11-04,55.1311,4.5952,18.1027,3.286900000000003
2024-11-01,51.5698,4.6748,19.3627,3.6661
2024-10-31,56.3698,4.6844,20.561,4.162900000000008
2024-10-30,59.8291,4.489,21.8515,5.005200000000002
2024-10-29,61.1676,4.4928,22.6425,5.338099999999997
2024-10-28,66.1778,4.5799,22.8888,5.490399999999994
2024-10-25,64.0957,4.6945,22.8106,5.679200000000009
2024-10-24,63.9863,4.7695,22.5055,5.733700000000027
2024-10-23,66.0416,4.9141,22.665,5.835000000000008
2024-10-22,67.506,4.8205,22.8368,5.965900000000005
2024-10-21,63.4143,4.9883,21.8048,5.635799999999989
2024-10-18,64.2552,4.9327,20.7938,5.120400000000004
2024-10-17,65.2692,5.1606,20.4441,4.9694999999999965
2024-10-16,60.6958,5.1599,20.0675,4.813400000000016
2024-10-15,66.6065,5.1691,20.3941,4.667599999999993
2024-10-14,65.4832,4.8106,20.7458,4.832799999999992
2024-10-11,63.4787,4.8114,18.9718,4.314800000000005
2024-10-10,61.7163,5.0185,17.614,3.9238
2024-10-09,64.7562,5.0968,16.2728,3.3667000000000087
2024-10-08,61.6898,5.2473,14.9005,2.8264000000000067
2024-10-07,56.9265,5.2079,13.5739,2.071399999999997
2024-10-04,56.8793,5.1685,12.5725,1.6038999999999959
2024-10-03,53.0343,5.3192,12.4898,1.2690000000000055
2024-10-02,48.26,5.3045,12.5355,1.0337999999999994
2024-10-01,54.3589,5.3864,13.3303,1.1260000000000048
2024-09-30,50.5975,5.2895,14.3351,1.4155999999999977
2024-09-27,57.85,5.4387,14.9103,1.3126000000000033
2024-09-26,61.9744,5.4894,15.2651,1.1659999999999968
2024-09-25,57.1871,5.4605,15.0238,0.6932000000000045
2024-09-24,50.5263,5.5675,15.2597,0.13360000000000127
2024-09-23,50.5728,5.5019,16.1387,-0.3138000000000005
2024-09-20,51.2098,5.7613,16.5571,-0.41089999999999804
2024-09-19,51.5526,5.9561,17.1155,-0.5023000000000053
2024-09-18,49.9872,5.9304,18.0932,-0.8021999999999991
2024-09-17,52.4445,6.042,18.6987,-0.7150999999999925
2024-09-16,51.0933,6.2014,19.6572,-0.819500000000005
2024-09-13,53.4327,6.3138,20.5577,-1.0619999999999976
2024-09-12,51.412,6.6183,22.1286,-1.5923999999999978
2024-09-11,43.8825,6.7113,23.8203,-2.2501999999999924
2024-09-10,42.1184,6.4761,24.9581,-2.8289999999999935
2024-09-09,38.8059,6.632,24.368,-2.6296000000000106
2024-09-06,41.1652,6.856,22.9228,-2.1709999999999923
2024-09-05,37.7687,6.8296,21.3663,-1.1834999999999951
2024-09-04,38.0525,6.9788,20.1304,-0.35180000000001144
2024-09-03,46.069,6.8118,18.7995,0.8167000000000115
2024-08-30,49.2696,6.4067,17.741,2.1140999999999934
2024-08-29,50.9745,6.5511,18.1204,2.5816000000000088
2024-08-28,57.8672,6.3704,18.5289,3.322099999999992
2024-08-27,55.3214,6.4228,19.7486,3.4022999999999968
2024-08-26,60.3029,6.5077,20.7801,3.1813999999999965
2024-08-23,57.3777,6.4783,21.7823,3.040399999999991
2024-08-22,62.1457,6.5259,23.1709,2.5200000000000102
2024-08-21,60.146,6.4395,24.6663,2.3922999999999917
2024-08-20,61.3532,6.7279,25.5772,1.7098999999999904
2024-08-19,58.41,6.9293,26.5583,0.9412999999999982
2024-08-16,56.6697,6.9562,27.6147,-0.3334000000000117
2024-08-15,54.2542,7.1975,29.4858,-1.4037000000000006
2024-08-14,54.0822,7.3074,31.7313,-2.5742000000000047
2024-08-13,49.4075,7.521,33.3794,-3.5442000000000036
2024-08-12,44.0966,7.545,34.7326,-4.533199999999994
2024-08-09,43.4845,7.6393,35.1952,-5.004599999999996
2024-08-08,40.2317,7.9831,34.7161,-5.0989
2024-08-07,43.9838,7.9834,33.949,-5.167299999999997
2024-08-06,40.4606,7.8198,33.2222,-4.562600000000003
2024-08-05,27.9794,7.863,32.5947,-4.268199999999993
2024-08-02,34.6852,7.1925,31.0175,-3.4432999999999936
2024-08-01,46.9941,7.1428,30.1716,-3.034700000000001
2024-07-31,40.3892,6.6654,29.8222,-2.666700000000006
2024-07-30,38.26,6.0544,29.9269,-2.9531999999999954
2024-07-29,40.3652,5.7932,28.4471,-1.9228999999999985
2024-07-26,42.8899,5.8558,27.8708,-1.3800999999999988
2024-07-25,38.3807,5.9509,27.2885,-0.8168000000000006
2024-07-24,44.768,5.6141,26.6615,-0.006700000000009254
2024-07-23,49.25,5.3422,27.0115,0.8269000000000091
2024-07-22,45.8622,5.5539,28.975,1.0297000000000054
2024-07-19,45.8622,5.5089,31.1623,1.1770000000000067
2024-07-18,47.5517,5.6073,32.8815,1.9188999999999936
2024-07-17,46.9468,5.5894,34.7328,2.5161999999999978
2024-07-16,55.3534,5.2779,36.5922,3.5575999999999937
2024-07-15,58.2495,5.3408,38.3569,3.9829000000000008
2024-07-12,55.9264,5.4278,39.4644,4.256200000000007
2024-07-11,67.2396,5.4839,40.6448,4.461500000000001
2024-07-10,65.7628,5.2058,41.916,4.845999999999989
2024-07-09,62.3949,5.3201,41.5978,4.5017
2024-07-08,59.5213,5.297,41.424,4.356099999999998
2024-07-05,59.4105,5.3245,41.6644,4.430799999999991
2024-07-03,53.2306,5.4903,42.2146,4.7029
2024-07-02,52.6098,5.3803,42.894,4.732300000000009
2024-07-01,55.6375,5.5427,44.4364,5.272199999999998
2024-06-28,57.0846,5.5068,46.0975,5.718699999999998
2024-06-27,56.6317,5.5489,46.7206,6.282799999999995
2024-06-26,59.0803,5.7073,47.58,6.865499999999997
2024-06-25,54.6593,5.7217,48.5055,7.264099999999999
2024-06-24,57.0267,5.5165,49.7219,7.698799999999991
2024-06-21,61.7501,5.2848,51.3147,8.953900000000004
2024-06-20,82.4823,5.1929,51.1998,9.564599999999999
2024-06-18,77.7434,4.7278,49.1179,9.7761
2024-06-17,82.1519,4.6577,47.1284,9.415300000000002
2024-06-14,80.4674,4.6967,45.1586,9.286100000000005
2024-06-13,80.14,4.7104,43.0989,8.894400000000005
2024-06-12,75.9895,4.7189,41.1025,8.496399999999994
2024-06-11,75.0009,4.6227,39.1925,8.313699999999997
2024-06-10,73.9106,4.6606,37.5224,8.396199999999993
2024-06-07,73.4532,4.5507,35.7239,8.290999999999997
2024-06-06,83.1001,4.6185,33.9276,8.128
2024-06-05,79.8371,4.4149,31.8797,7.790400000000005
2024-06-04,77.9917,4.2921,29.9769,7.0992999999999995
2024-06-03,76.4097,4.4257,28.6242,6.725200000000001
2024-05-31,75.5521,4.3534,27.3931,6.296199999999999
2024-05-30,80.8308,4.244,26.4086,6.203300000000013
2024-05-29,79.8487,4.097,24.2985,5.9062999999999874
2024-05-28,78.0117,4.059,21.5188,5.001100000000008
2024-05-24,73.3614,3.7199,18.5809,3.8674000000000035
2024-05-23,70.9805,3.7387,16.4904,3.1206999999999994
2024-05-22,62.5462,3.1519,14.2637,2.393900000000002
2024-05-21,59.4473,3.1812,14.2844,2.332499999999996
2024-05-20,59.8204,3.2552,14.5268,2.175600000000003
2024-05-17,61.2846,3.2964,14.6756,2.005499999999998
2024-05-16,62.5266,3.3243,14.9841,1.9934000000000083
2024-05-15,59.0542,3.448,14.347,1.7576000000000107
2024-05-14,54.4339,3.4436,13.933,1.403499999999994
2024-05-13,56.2367,3.4995,14.5221,1.2643000000000058
2024-05-10,55.9694,3.5789,15.3923,1.165700000000001
2024-05-09,56.3831,3.65,16.0631,1.0759999999999934
2024-05-08,54.9414,3.7123,16.8925,1.0610999999999962
2024-05-07,57.6741,3.8614,17.3595,0.8569999999999993
2024-05-06,55.5012,3.9178,17.8625,0.5694999999999908
2024-05-03,53.4197,3.9553,18.3898,0.03300000000000125
2024-05-02,48.7784,3.9932,19.7549,-0.3111999999999995
2024-05-01,49.642,4.0546,20.36,-0.44360000000000355
2024-04-30,52.6217,3.9706,20.9324,-0.32340000000000657
2024-04-29,53.1075,4.0823,22.0467,-0.5073999999999899
2024-04-26,48.4013,4.1866,23.4988,-0.8726999999999947
2024-04-25,41.2226,4.0704,25.0627,-1.3242999999999938
2024-04-24,47.5261,3.9913,25.5669,-1.3618000000000023
2024-04-23,42.4074,3.9215,26.3701,-1.0889999999999986
2024-04-22,37.6779,3.9732,26.7423,-1.0045999999999964
2024-04-19,44.0359,3.9809,26.0336,-0.58659999999999
2024-04-18,46.6737,3.59,25.2705,0.2933999999999912
2024-04-17,52.0327,3.5748,26.1612,0.5497999999999905
2024-04-16,48.952,3.4787,27.6473,0.9339000000000084
2024-04-15,53.4023,3.5835,29.4985,1.0665000000000049
2024-04-12,54.4385,3.4989,31.4921,1.3641999999999967
2024-04-11,51.0974,3.5307,33.0109,1.501899999999992
2024-04-10,45.397,3.5091,34.6465,1.4084000000000003
2024-04-09,50.9461,3.4951,37.094,1.6326999999999998
2024-04-08,53.1026,3.4092,39.7298,2.0666999999999973
2024-04-05,50.2519,3.5101,41.5984,2.409700000000001
2024-04-04,56.3963,3.582,43.7193,2.7232000000000056
2024-04-03,53.5318,3.4919,46.0034,3.2978999999999985
2024-04-02,53.4786,3.6087,47.4457,3.671999999999997
2024-04-01,56.568,3.6753,49.0668,4.0464000000000055
2024-03-28,56.1884,3.7257,50.1519,4.372599999999991
